team,opponent,wins
D-backs,D-backs,0
D-backs,Giants,0
D-backs,Braves,0
D-backs,Mets,0
D-backs,Orioles,0
D-backs,Blue Jays,0
D-backs,Red Sox,0
D-backs,Pirates,0
D-backs,Cubs,0
D-backs,Cardinals,0
D-backs,White Sox,0
D-backs,Tigers,0
D-backs,Reds,0
D-backs,Phillies,0
D-backs,Indians,0
D-backs,Rangers,0
D-backs,Rockies,0
D-backs,Brewers,0
D-backs,Astros,0
D-backs,Mariners,0
D-backs,Angels,0
D-backs,Athletics,0
D-backs,Yankees,0
D-backs,Rays,0
D-backs,Twins,0
D-backs,Royals,0
D-backs,Marlins,0
D-backs,Nationals,0
D-backs,Padres,0
D-backs,Dodgers,0
Giants,D-backs,0
Giants,Giants,0
Giants,Braves,0
Giants,Mets,0
Giants,Orioles,0
Giants,Blue Jays,0
Giants,Red Sox,0
Giants,Pirates,0
Giants,Cubs,0
Giants,Cardinals,0
Giants,White Sox,0
Giants,Tigers,0
Giants,Reds,0
Giants,Phillies,0
Giants,Indians,0
Giants,Rangers,0
Giants,Rockies,0
Giants,Brewers,0
Giants,Astros,0
Giants,Mariners,0
Giants,Angels,0
Giants,Athletics,0
Giants,Yankees,0
Giants,Rays,0
Giants,Twins,0
Giants,Royals,0
Giants,Marlins,0
Giants,Nationals,0
Giants,Padres,0
Giants,Dodgers,0
Braves,D-backs,0
Braves,Giants,0
Braves,Braves,0
Braves,Mets,0
Braves,Orioles,0
Braves,Blue Jays,0
Braves,Red Sox,0
Braves,Pirates,0
Braves,Cubs,0
Braves,Cardinals,0
Braves,White Sox,0
Braves,Tigers,0
Braves,Reds,0
Braves,Phillies,0
Braves,Indians,0
Braves,Rangers,0
Braves,Rockies,0
Braves,Brewers,0
Braves,Astros,0
Braves,Mariners,0
Braves,Angels,0
Braves,Athletics,0
Braves,Yankees,0
Braves,Rays,0
Braves,Twins,0
Braves,Royals,0
Braves,Marlins,0
Braves,Nationals,0
Braves,Padres,0
Braves,Dodgers,0
Mets,D-backs,0
Mets,Giants,0
Mets,Braves,0
Mets,Mets,0
Mets,Orioles,0
Mets,Blue Jays,0
Mets,Red Sox,0
Mets,Pirates,0
Mets,Cubs,0
Mets,Cardinals,0
Mets,White Sox,0
Mets,Tigers,0
Mets,Reds,0
Mets,Phillies,0
Mets,Indians,0
Mets,Rangers,0
Mets,Rockies,0
Mets,Brewers,0
Mets,Astros,0
Mets,Mariners,0
Mets,Angels,0
Mets,Athletics,0
Mets,Yankees,0
Mets,Rays,0
Mets,Twins,0
Mets,Royals,0
Mets,Marlins,0
Mets,Nationals,0
Mets,Padres,0
Mets,Dodgers,0
Orioles,D-backs,0
Orioles,Giants,0
Orioles,Braves,0
Orioles,Mets,0
Orioles,Orioles,0
Orioles,Blue Jays,0
Orioles,Red Sox,0
Orioles,Pirates,0
Orioles,Cubs,0
Orioles,Cardinals,0
Orioles,White Sox,0
Orioles,Tigers,0
Orioles,Reds,0
Orioles,Phillies,0
Orioles,Indians,0
Orioles,Rangers,0
Orioles,Rockies,0
Orioles,Brewers,0
Orioles,Astros,0
Orioles,Mariners,0
Orioles,Angels,0
Orioles,Athletics,0
Orioles,Yankees,0
Orioles,Rays,0
Orioles,Twins,0
Orioles,Royals,0
Orioles,Marlins,0
Orioles,Nationals,0
Orioles,Padres,0
Orioles,Dodgers,0
